[2026-05-12 20:46:28,097] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35106.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:29,072] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35106.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:30,145] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35106.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:31,120] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35078.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:32,095] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35078.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:33,119] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35078.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:34,109] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35193.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:35,117] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35193.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:36,092] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35193.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:37,116] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35193.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:38,140] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35193.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:39,164] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35193.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:40,139] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35281.0 Ω | Previsão Nicla: fresca
